29.95	Mar 31	174230135019	Lot of 2 Wedgwood Jasperware Olive Green (Etruscan) Jugs "Sacrifice Figures" 6" 
9.95	Mar 30	174229477569	Vintage Carlton Ware MIKADO Blue Lustre BOWL 2729 England W &amp; R STOKE ON TRENT
11.95	Mar 30	174229476567	Vintage Wedgwood IRONSTONE Hibiscus Pattern White SOUP Tureen LADLE 
9.95	Mar 30	174229476161	Wedgwood Green Jasperware Bonbon Box (Silver design) "Cupids" 2" x 4 25"
18.50	Mar 30	174229473342	Wedgwood Green JUG (DUTCH) Jasperware 'Sacrifice Figures' ~5.5" ENGLAND
55.00	Mar 30	174229468939	Wedgwood Tri-Color "Monopodia" Jasperware Vase Lions Head Blue, Lilac, white 7"
22.50	Mar 30	174229460811	Wedgewood Jasperware Cobalt Blue and White Pomade Box "Ulysses" 
32.00	Mar 30	174229325295	WEDGWOOD Light Blue and White Jasperware Doric Jug "Sacrifice Figures" 5"
172.45	Mar 22	174216253414;174216570793	Vintage Large BROWN/WHITE Pitcher Jug Floral Pattern WATER;WEDGWOOD Blue and White Jasperware Doric Jug "Sacrifice Figures" 10" ENGLAND
55.40	Mar 22	174207259488;174207260572;174212771200	Wedgwood Jasperware Biscuit Barrel (Laurel Foot) Cobalt Blue "Sacrifice Figures";WEDGWOOD Green and White SPILL VASE (Upright) Jasperware "Erato" 6.5" Excellent;Wedgwood Green Jasperware Creamer With Lid "Muses" 4 inches
26.55	Mar 22	174221479031	Wedgwood Jasperware Biscuit Barrel (Upright) Cobalt Blue "Sacrifice Figures" 
29.95	Mar 20	174225379719	Lot of 3 Wedgwood Blie/White JUGS (Upright) 'Sacrifice Figures' Ribbed Handles
91.45	Mar 19	174215519915;174215563384;174215573113	Wedgwood Jasperware Cobalt Blue Pitcher / Jug 'Sacrifice Figures'  6.5";Wedgwood Light Blue Jasperware Jug (Etruscan) "Offering to Peace" 6" ;Wedgwood 4" x 7" Cobalt Blue / White Jasperware Teapot "Sacrifice Figures" 
29.95	Mar 19	174218209749	Lot of 3 Wedgwood Green/White JUGS (Upright) 'Sacrifice Figures' Ribbed Handles
21.55	Mar 18	174217545858	Wedgwood Jasperware Biscuit Barrel (Barrel) Olive Green "Sacrifice Figures" 
66.90	Mar 17	174212784859;174212805606;174213443060	Wedgwood Blue and White Jasperware Cambridge Ale Jug "Cupids"   6";Wedgwood Jasperware Green Jug (Orange) "Muses" 6";Wedgwood Jasperware Dark Blue Jug (Orange) "Terpsichore" and "Erato" 6.25"
20.45	Mar 17	174216315032	 Wedgwood Jasperware Green TEAPOT Lid 'Sacrifice Figures' Tea Pot England
31.01	Mar 17	174216202200	WEDGWOOD JASPERWARE Cobalt Blue and White PLATE Charger England
20.50	Mar 17	174216166851	Mini Wedgwood Cobalt Blue Jasperware Cache Pot Planter Jardiniere 2.25" 'Aurora'
75.99	Mar 17	174216057701	Wedgwood Black and White Jasperware Cylindrical Cup and Saucer ENGLAND
33.00	Mar 16	174215575293	Wedgwood 4" x 7" Dark Blue / White Jasperware Teapot "Sacrifice Figures" 
14.50	Mar 16	174215558343	Wedgwood Cobalt Blue Jasperware Jug (Etruscan) "Sacrifice Figures" 5" 
59.99	Mar 16	174215541911	Wedgwood Jasperware Light Green (Etruscan) Jug "Sacrifice Figures" 7.75" 
26.05	Mar 16	174215507992	Wedgwood Jasperware Cobalt Blue (Etruscan Greek Key)Jug "Sacrifice Figures" 6" 
26.05	Mar 15	174214485961	Wedgwood Jasperware Biscuit Barrel (Laurel Foot) Cobalt Blue "Sacrifice Figures"
19.95	Mar 14	174213530980	Wedgwood Jasperware Biscuit Barrel (Barrel) Dark Blue "Sacrifice Figures" 
43.00	Mar 14	174213500009	Wedgwood Green Jasperware Jardiniere (Globe) 6.25" x 8.5" "Group with Cage" 
12.49	Mar 14	174213443382	Wedgwood Dark Blue Jasperware Jug (Etruscan) "Offering to Peace" 5.25" 
167.00	Mar 14	174212809983;174212811761	Wedgwood Green Jasperware Jardiniere 6.5" x 7" "Washington and Franklin" ;Wedgwood Large Green Jasperware Jardiniere 7.25" x 8" "Washington and Franklin" 
